sponsor_id,company_name,industry,sponsorship_deals,contract_value,contract_duration,advertising_channels,location,contact_email,phone_number,website
133,Dangote Group,Manufacturing & Cement,Sponsor of Nigerian football stadium infrastructure,300000000.0,2016-2035,"TV, Digital, Print","Lagos, Nigeria",info@dangote.com,+234 1 448 0815,https://www.dangote.com/
134,Heineken Africa,Beverages,Sponsor of Champions League broadcasting in Africa,450000000.0,2015-2035,"TV, Digital, In-Stadium Ads","Lagos, Nigeria",info@heineken.com,+31 20 523 9239,https://www.theheinekencompany.com/
135,Jumia,E-commerce,Exclusive e-commerce partner for African football merchandise,75000000.0,2021-2031,"TV, Digital, App Ads","Lagos, Nigeria",support@jumia.com,+234 1 888 1100,https://www.jumia.com.ng/
136,Zenith Bank,Banking & Financial Services,Financial sponsor for Nigerian football academies,130000000.0,2018-2034,"TV, Print, Digital","Lagos, Nigeria",info@zenithbank.com,+234 1 278 7000,https://www.zenithbank.com/
137,DStv Africa,Media & Broadcasting,Exclusive rights to African football leagues,500000000.0,2016-2035,"TV, Streaming, Digital","Johannesburg, South Africa",info@dstv.com,+27 11 686 6000,https://www.dstv.com/
138,TotalEnergies Africa,Energy & Oil,Title sponsor of CAF competitions,600000000.0,2017-2035,"TV, Digital, Stadium Ads","Paris, France",info@totalenergies.com,+33 1 4744 4546,https://www.totalenergies.com/
139,BIC Africa,Consumer Goods,Partner in football youth programs,65000000.0,2022-2033,"TV, Digital, School Activations","Casablanca, Morocco",info@bic.com,+212 522 79 79 79,https://www.bic.com/
140,L’Oréal Africa,Cosmetics & Personal Care,Official grooming partner for African national teams,70000000.0,2020-2030,"TV, Digital, Retail","Johannesburg, South Africa",info@loreal.com,+27 21 480 6000,https://www.loreal.com/
141,PepsiCo South Africa,Beverages,Sponsor of South African football tournaments,180000000.0,2015-2035,"TV, Digital, Retail Activations","Johannesburg, South Africa",info@pepsico.com,+27 11 522 6000,https://www.pepsico.com/
142,Vodacom Africa,Telecommunications,Official telecom sponsor of South African PSL,500000000.0,2017-2035,"TV, Digital, Stadium Ads","Johannesburg, South Africa",info@vodacom.co.za,+27 11 653 5000,https://www.vodacom.co.za/
143,Huawei Africa,Technology,Tech provider for AI-driven sports analytics,300000000.0,2018-2033,"TV, Digital, Stadium Screens","Nairobi, Kenya",contact@huawei.com,+254 20 276 7000,https://www.huawei.com/
144,Nestlé Africa,Food & Beverage,Nutrition partner for youth football academies,250000000.0,2016-2031,"TV, Digital, Retail Promotions","Accra, Ghana",info@nestle.com,+233 30 276 5555,https://www.nestle.com/
145,Toyota South Africa,Automotive,Official vehicle partner for African football events,450000000.0,2019-2035,"TV, Print, Stadium Branding","Cape Town, South Africa",contact@toyota.co.za,+27 21 480 6000,https://www.toyota.co.za/
146,Samsung Electronics Africa,Technology,Smart stadium solutions provider,350000000.0,2017-2035,"TV, Digital, Stadium Screens","Johannesburg, South Africa",info@samsung.com,+27 11 549 1600,https://www.samsung.com/
147,Betway Africa,Sports Betting,Official betting partner of multiple African leagues,600000000.0,2020-2040,"TV, Digital, In-App Ads","Lagos, Nigeria",support@betway.com,+234 1 888 8888,https://www.betway.com/
148,Shell Africa,Energy & Oil,Main sponsor for African grassroots football programs,550000000.0,2015-2035,"TV, Digital, Environmental Initiatives","Abuja, Nigeria",info@shell.com,+234 9 462 1500,https://www.shell.com/
149,KFC Africa,Food & Beverage,Official fast food sponsor of African youth tournaments,200000000.0,2018-2031,"TV, Digital, In-Store Promotions","Johannesburg, South Africa",info@kfc.com,+27 11 880 8080,https://www.kfc.co.za/
150,Puma Africa,Sportswear,Kit supplier for African national teams,500000000.0,2015-2035,"TV, Digital, Merchandise","Cape Town, South Africa",support@puma.com,+27 21 918 4000,https://www.puma.com/
151,Netflix Africa,Streaming & Media,Exclusive docuseries on African football stars,150000000.0,2023-2030,"TV, Digital, Streaming Platforms","Cape Town, South Africa",info@netflix.com,+27 21 555 7777,https://www.netflix.com/
152,Carrefour Africa,Retail & Supermarkets,Official supermarket partner for African football events,220000000.0,2021-2035,"Retail, Digital, Outdoor Ads","Nairobi, Kenya",support@carrefour.com,+254 20 235 8000,https://www.carrefour.com/
153,Adidas Africa,Sportswear,Kit supplier for African club teams,600000000.0,2015-2040,"TV, Digital, Merchandise","Johannesburg, South Africa",info@adidas.com,+27 11 549 2000,https://www.adidas.com/
154,Air Peace,Airline & Travel,Official airline partner for Nigerian football teams,150000000.0,2021-2035,"TV, Digital, Airport Branding","Lagos, Nigeria",info@airpeace.com,+234 1 280 9255,https://www.flyairpeace.com/
155,Tigo Tanzania,Telecommunications,Main sponsor of Tanzanian Premier League,200000000.0,2020-2035,"TV, Digital, Stadium Ads","Dar es Salaam, Tanzania",support@tigo.co.tz,+255 22 278 2200,https://www.tigo.co.tz/
156,Guinness Nigeria,Beverages,Title sponsor of Nigerian football fan experiences,180000000.0,2019-2033,"TV, Digital, Retail Promotions","Lagos, Nigeria",info@guinness.com,+234 1 280 5000,https://www.guinness-nigeria.com/
157,Moroccan Royal Air,Airline & Travel,Official airline sponsor of Moroccan national football team,250000000.0,2018-2034,"TV, Digital, Airport Branding","Casablanca, Morocco",info@royalairmaroc.com,+212 522 48 97 97,https://www.royalairmaroc.com/
158,Kenya Airways,Airline & Travel,Official travel partner for Kenyan football teams,200000000.0,2020-2035,"TV, Digital, Airport Branding","Nairobi, Kenya",info@kenya-airways.com,+254 20 327 4747,https://www.kenya-airways.com/
159,WakaNow,Travel & Tourism,Exclusive travel deals for African football fans,180000000.0,2019-2032,"TV, Digital, Mobile App","Lagos, Nigeria",support@wakanow.com,+234 1 700 0000,https://www.wakanow.com/
160,MTN Ghana,Telecommunications,Main sponsor of Ghana Premier League,220000000.0,2018-2036,"TV, Digital, Outdoor Ads","Accra, Ghana",info@mtn.com.gh,+233 24 430 0000,https://www.mtn.com.gh/
161,Lagos Free Zone,Infrastructure & Real Estate,Major infrastructure partner for Nigerian sports stadiums,300000000.0,2017-2040,"TV, Digital, Print","Lagos, Nigeria",info@lfz.com,+234 1 271 4000,https://www.lagosfreezone.com/
162,UBA (United Bank for Africa),Banking & Financial Services,Official banking partner of CAF tournaments,350000000.0,2020-2035,"TV, Digital, Print","Lagos, Nigeria",info@ubagroup.com,+234 1 280 8822,https://www.ubagroup.com/
163,Nestlé Milo,Beverages,Sponsor of African youth football tournaments,180000000.0,2015-2035,"TV, Digital, School Programs","Accra, Ghana",support@nestle.com,+233 30 276 5555,https://www.nestle.com/
164,FNB South Africa,Banking & Financial Services,Official banking sponsor for South African football clubs,300000000.0,2016-2036,"TV, Digital, Stadium Ads","Johannesburg, South Africa",info@fnb.co.za,+27 11 371 3711,https://www.fnb.co.za/
165,Oando PLC,Energy & Oil,Sponsor of African grassroots football initiatives,250000000.0,2019-2039,"TV, Digital, CSR Initiatives","Lagos, Nigeria",info@oandoplc.com,+234 1 270 2400,https://www.oandoplc.com/
166,Orange Africa,Telecommunications,Title sponsor of major African football tournaments,550000000.0,2015-2035,"TV, Digital, Stadium Ads","Abidjan, Ivory Coast",info@orange.com,+225 27 20 33 40 00,https://www.orange.com/
167,Ecobank,Banking & Financial Services,Official banking partner for African club tournaments,400000000.0,2017-2032,"TV, Digital, Stadium Sponsorships","Lomé, Togo",support@ecobank.com,+228 22 21 03 03,https://www.ecobank.com/
168,Nokia Africa,Technology,5G partner for smart stadium infrastructure,350000000.0,2018-2036,"TV, Digital, Stadium Screens","Johannesburg, South Africa",info@nokia.com,+27 11 543 6000,https://www.nokia.com/
169,Aspira Kenya,Consumer Financing,Football finance solutions for clubs and players,120000000.0,2021-2031,"TV, Digital, Print","Nairobi, Kenya",support@aspira.co.ke,+254 709 944 444,https://www.aspira.co.ke/
170,MultiChoice Africa,Media & Broadcasting,Exclusive football content rights for African leagues,600000000.0,2015-2035,"TV, Streaming, Digital","Johannesburg, South Africa",info@multichoice.com,+27 11 289 2222,https://www.multichoice.com/
171,Bet9ja,Sports Betting,Official betting partner for Nigerian football,750000000.0,2019-2040,"TV, Digital, In-Stadium Ads","Lagos, Nigeria",support@bet9ja.com,+234 1 888 8899,https://www.bet9ja.com/
172,Nike Africa,Sportswear,Kit supplier for African national teams,700000000.0,2016-2040,"TV, Digital, Merchandise","Cape Town, South Africa",info@nike.com,+27 11 728 6000,https://www.nike.com/
173,Airtel Africa,Telecommunications,Exclusive telecom sponsor for football leagues,450000000.0,2017-2035,"TV, Digital, Stadium Branding","Lagos, Nigeria",info@airtel.com,+234 802 150 0111,https://www.airtel.africa/
174,Nedbank South Africa,Banking & Financial Services,Sponsor of South African football tournaments,320000000.0,2015-2035,"TV, Digital, Stadium Ads","Johannesburg, South Africa",info@nedbank.co.za,+27 11 294 4444,https://www.nedbank.co.za/
175,Woolworths Africa,Retail & Supermarkets,Official nutrition partner for football academies,180000000.0,2020-2034,"Retail, Digital, In-Store Promotions","Cape Town, South Africa",support@woolworths.co.za,+27 21 407 7002,https://www.woolworths.co.za/
176,MTN South Africa,Telecommunications,Official telecom sponsor of the South African national football team,520000000.0,2016-2036,"TV, Digital, Outdoor Ads","Johannesburg, South Africa",info@mtn.co.za,+27 83 135 0000,https://www.mtn.co.za/
177,Dangote Group,Manufacturing & Cement,Sponsor of Nigerian football league and national team,650000000.0,2015-2040,"TV, Digital, Stadium Branding","Lagos, Nigeria",info@dangote.com,+234 1 448 0815,https://www.dangote.com/
178,First Bank of Nigeria,Banking & Financial Services,Official banking partner for Nigerian football development programs,380000000.0,2018-2038,"TV, Digital, Community Programs","Lagos, Nigeria",info@firstbanknigeria.com,+234 1 905 2326,https://www.firstbanknigeria.com/
179,TotalEnergies Africa,Oil & Gas,Title sponsor of the CAF African Cup of Nations,800000000.0,2017-2040,"TV, Digital, Environmental CSR","Johannesburg, South Africa",info@totalenergies.com,+27 11 778 2000,https://www.totalenergies.com/
180,Jumia Africa,E-Commerce,E-commerce partner for African football merchandising,300000000.0,2020-2035,"TV, Digital, Social Media","Lagos, Nigeria",support@jumia.com,+234 1 277 2365,https://www.jumia.com/
181,Safaricom Kenya,Telecommunications,Main sponsor of Kenyan football league,450000000.0,2019-2035,"TV, Digital, Stadium Branding","Nairobi, Kenya",info@safaricom.co.ke,+254 722 002100,https://www.safaricom.co.ke/
182,Heineken South Africa,Beverages,Beer partner for major African football events,500000000.0,2015-2035,"TV, Digital, Retail Promotions","Cape Town, South Africa",info@heineken.co.za,+27 21 555 7777,https://www.heineken.com/
183,Bidvest Group,Logistics & Services,Official logistics partner for African football leagues,420000000.0,2016-2040,"TV, Digital, Stadium Branding","Johannesburg, South Africa",info@bidvest.co.za,+27 11 772 8700,https://www.bidvest.co.za/
184,PepsiCo Africa,Beverages,Sponsor of African youth football tournaments,500000000.0,2018-2038,"TV, Digital, Retail Promotions","Lagos, Nigeria",info@pepsico.com,+234 1 448 0095,https://www.pepsico.com/
185,Shoprite Africa,Retail & Supermarkets,Supermarket partner for African football tournaments,320000000.0,2020-2034,"Retail, Digital, In-Store Promotions","Cape Town, South Africa",support@shoprite.co.za,+27 21 980 4000,https://www.shoprite.co.za/
186,Standard Bank Africa,Banking & Financial Services,Official banking partner for African sports investment,600000000.0,2019-2039,"TV, Digital, Stadium Ads","Johannesburg, South Africa",info@standardbank.co.za,+27 11 636 9111,https://www.standardbank.co.za/
187,Coca-Cola Africa,Beverages,Official beverage sponsor of CAF tournaments,750000000.0,2015-2040,"TV, Digital, Retail Promotions","Johannesburg, South Africa",info@coca-cola.com,+27 11 644 0666,https://www.coca-cola.com/
188,Unilever Nigeria,Consumer Goods,Official partner for African grassroots football development,450000000.0,2018-2038,"TV, Digital, Community Engagement","Lagos, Nigeria",info@unilever.com,+234 1 270 2000,https://www.unilever.com/
189,Huawei Africa,Technology,5G infrastructure provider for African stadiums,680000000.0,2017-2037,"TV, Digital, Stadium Branding","Johannesburg, South Africa",info@huawei.com,+27 11 237 9000,https://www.huawei.com/
190,KFC Africa,Food & Restaurants,Official food partner for youth football tournaments,300000000.0,2020-2035,"TV, Digital, Retail Stores","Cape Town, South Africa",info@kfc.com,+27 21 555 1234,https://www.kfc.co.za/
191,Toyota Africa,Automotive,Official vehicle partner for African football teams,780000000.0,2019-2040,"TV, Digital, Outdoor Ads","Nairobi, Kenya",info@toyota.com,+254 20 696 2000,https://www.toyota-global.com/
192,Uber Africa,Transport & Mobility,Exclusive ride partner for African football events,500000000.0,2018-2038,"TV, Digital, Mobile App","Lagos, Nigeria",support@uber.com,+234 1 270 8888,https://www.uber.com/
193,Betway Africa,Sports Betting,Exclusive betting partner for African football,850000000.0,2016-2040,"TV, Digital, Stadium Ads","Accra, Ghana",support@betway.com,+233 30 223 4567,https://www.betway.com/
194,Airtel Zambia,Telecommunications,Official telecom partner for Zambian football leagues,480000000.0,2019-2035,"TV, Digital, Outdoor Ads","Lusaka, Zambia",info@airtel.com.zm,+260 97 777 7777,https://www.airtel.com.zm/
195,Nestlé Kenya,Beverages,Sponsor of youth football tournaments in Kenya,280000000.0,2021-2032,"TV, Digital, Retail","Nairobi, Kenya",support@nestle.com,+254 20 234 5678,https://www.nestle.com/
196,Visa Africa,Financial Services,Exclusive payment partner for African football competitions,900000000.0,2017-2040,"TV, Digital, Stadium Branding","Cape Town, South Africa",info@visa.com,+27 21 765 4321,https://www.visa.com/
197,Standard Chartered Africa,Banking & Financial Services,Official financial partner for football infrastructure development,650000000.0,2016-2038,"TV, Digital, Stadium Branding","Johannesburg, South Africa",info@sc.com,+27 11 721 9000,https://www.sc.com/
198,Mercedes-Benz South Africa,Automotive,Official luxury vehicle provider for African football federations,800000000.0,2017-2040,"TV, Digital, Outdoor Ads","Pretoria, South Africa",info@mercedes-benz.com,+27 12 677 1500,https://www.mercedes-benz.com/
199,Guinness Nigeria,Beverages,Main beverage partner for Nigerian football league,500000000.0,2018-2035,"TV, Digital, Retail Promotions","Lagos, Nigeria",info@guinness.com,+234 1 903 2123,https://www.guinness.com/
200,Samsung Africa,Technology,Official technology partner for African football events,700000000.0,2017-2042,"TV, Digital, Stadium Branding","Johannesburg, South Africa",info@samsung.com,+27 11 549 4000,https://www.samsung.com/
201,Red Bull Africa,Beverages,Official energy drink partner for youth football tournaments,420000000.0,2020-2035,"TV, Digital, Retail Promotions","Cape Town, South Africa",info@redbull.com,+27 21 900 3000,https://www.redbull.com/
202,Adidas South Africa,Sportswear,Official kit sponsor for African national teams,900000000.0,2015-2040,"TV, Digital, Merchandise","Johannesburg, South Africa",info@adidas.com,+27 11 784 6000,https://www.adidas.com/
203,Nestlé South Africa,Food & Beverages,Nutrition partner for African football academies,450000000.0,2019-2035,"TV, Digital, Retail Stores","Johannesburg, South Africa",support@nestle.co.za,+27 11 234 5678,https://www.nestle.com/
204,Nike Nigeria,Sportswear,Kit supplier for Nigerian football league,780000000.0,2018-2040,"TV, Digital, Merchandise","Lagos, Nigeria",info@nike.com,+234 1 234 5678,https://www.nike.com/
205,Airtel Ghana,Telecommunications,Exclusive telecom partner for Ghanaian football leagues,520000000.0,2019-2035,"TV, Digital, Outdoor Ads","Accra, Ghana",info@airtel.com.gh,+233 30 777 8888,https://www.airtel.com.gh/
206,Visa South Africa,Financial Services,Exclusive payment partner for African football tournaments,980000000.0,2018-2040,"TV, Digital, Stadium Branding","Cape Town, South Africa",info@visa.com,+27 21 765 4321,https://www.visa.com/
207,Puma South Africa,Sportswear,Kit supplier for multiple African football teams,920000000.0,2016-2040,"TV, Digital, Merchandise","Johannesburg, South Africa",info@puma.com,+27 11 123 4567,https://www.puma.com/
208,Vodacom South Africa,Telecommunications,Main telecom sponsor for South African football leagues,880000000.0,2018-2040,"TV, Digital, Stadium Branding","Johannesburg, South Africa",info@vodacom.co.za,+27 21 789 5678,https://www.vodacom.co.za/
209,Tigo Tanzania,Telecommunications,Exclusive telecom partner for Tanzanian Premier League,620000000.0,2019-2038,"TV, Digital, Outdoor Ads","Dar es Salaam, Tanzania",info@tigo.co.tz,+255 22 212 3456,https://www.tigo.co.tz/
210,KIA Motors Africa,Automotive,Official vehicle sponsor for African club football,700000000.0,2020-2040,"TV, Digital, Stadium Ads","Lagos, Nigeria",info@kia.com,+234 1 987 6543,https://www.kia.com/
211,TotalEnergies Kenya,Oil & Gas,Energy provider and infrastructure development partner,850000000.0,2017-2037,"TV, Digital, Environmental CSR","Nairobi, Kenya",info@totalenergies.co.ke,+254 20 555 6666,https://www.totalenergies.com/
212,Etisalat Egypt,Telecommunications,Main telecom partner for Egyptian football federation,780000000.0,2018-2042,"TV, Digital, Stadium Branding","Cairo, Egypt",info@etisalat.com.eg,+20 2 234 5678,https://www.etisalat.com/
213,Peugeot Africa,Automotive,Vehicle provider for football scouting and logistics,780000000.0,2020-2040,"TV, Digital, Outdoor Ads","Casablanca, Morocco",info@peugeot.com,+212 5 987 6543,https://www.peugeot.com/
214,Nando’s South Africa,Food & Restaurants,Official nutrition partner for grassroots football,450000000.0,2019-2035,"TV, Digital, Retail","Cape Town, South Africa",info@nandos.co.za,+27 21 999 8888,https://www.nandos.co.za/
215,Standard Bank Nigeria,Banking & Financial Services,Exclusive financial partner for Nigerian football investment,620000000.0,2020-2040,"TV, Digital, Community Engagement","Lagos, Nigeria",info@standardbank.ng,+234 1 789 6543,https://www.standardbank.com/
216,Nestlé Egypt,Food & Beverages,Nutrition sponsor for Egyptian football academies,480000000.0,2021-2035,"TV, Digital, Retail Stores","Cairo, Egypt",support@nestle.com.eg,+20 2 333 2222,https://www.nestle.com/
217,Castrol Africa,Oil & Lubricants,Official motor oil partner for African football teams,520000000.0,2019-2040,"TV, Digital, Outdoor Branding","Cape Town, South Africa",info@castrol.com,+27 21 543 6789,https://www.castrol.com/
218,Carrefour Africa,Retail & Supermarkets,Retail partner for sports nutrition and merchandise,750000000.0,2020-2040,"Retail, Digital, Social Media","Nairobi, Kenya",info@carrefour.co.ke,+254 20 333 8888,https://www.carrefour.com/
219,Heineken Africa,Beverages,Official beer sponsor for African football events,750000000.0,2016-2040,"TV, Digital, Stadium Branding","Lagos, Nigeria",info@heineken.com,+234 1 777 5555,https://www.heineken.com/
220,DHL Africa,Logistics & Shipping,Official logistics partner for African football leagues,800000000.0,2018-2042,"TV, Digital, Transport Branding","Johannesburg, South Africa",info@dhl.com,+27 11 222 4444,https://www.dhl.com/
221,Jumia Nigeria,E-commerce,Exclusive e-commerce partner for sports merchandise,600000000.0,2020-2038,"TV, Digital, Online Ads","Lagos, Nigeria",support@jumia.com,+234 1 678 9999,https://www.jumia.com.ng/
222,PepsiCo Africa,Beverages,Official soft drink partner for African football tournaments,700000000.0,2019-2040,"TV, Digital, Retail Promotions","Nairobi, Kenya",info@pepsico.com,+254 20 444 3333,https://www.pepsico.com/
223,MTN Africa,Telecommunications,Exclusive telecom partner for African national football teams,850000000.0,2017-2037,"TV, Digital, Outdoor Ads","Accra, Ghana",info@mtn.com,+233 30 222 8888,https://www.mtn.com/
224,EcoBank Africa,Banking & Financial Services,Official banking partner for CAF competitions,900000000.0,2015-2045,"TV, Digital, Community Engagement","Lome, Togo",info@ecobank.com,+228 22 555 4444,https://www.ecobank.com/
225,Kenya Airways,Aviation,Official airline partner for African football teams,720000000.0,2018-2040,"TV, Digital, Airport Ads","Nairobi, Kenya",info@kenya-airways.com,+254 20 222 7777,https://www.kenya-airways.com/
226,Hyundai Africa,Automotive,Official vehicle partner for African football federations,880000000.0,2016-2042,"TV, Digital, Outdoor Ads","Johannesburg, South Africa",info@hyundai.com,+27 11 555 6666,https://www.hyundai.com/
227,Visa Kenya,Financial Services,Exclusive payment provider for Kenyan football leagues,940000000.0,2019-2040,"TV, Digital, Stadium Branding","Nairobi, Kenya",info@visa.com,+254 20 777 3333,https://www.visa.com/
228,Nestlé Ghana,Food & Beverages,Official nutrition partner for Ghanaian football academies,500000000.0,2021-2035,"TV, Digital, Retail","Accra, Ghana",support@nestle.com,+233 30 555 4444,https://www.nestle.com/
